ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1902475	L-alpha-amino acid transmembrane transport	10/498	52/12060	0.192307692307692	4.65708989805375	5.48473696750558	4.36287050256478e-05	0.00069315717872209	0.000492962225915658	SLC1A5/SLC7A1/SLC7A2/SLC7A7/SLC38A2/SLC7A5/SLC1A3/SLC1A4/SLC7A11/SLC38A4	10
GO:0002371	dendritic cell cytokine production	5/498	11/12060	0.454545454545455	11.0076670317634	6.89140104174594	4.42109734296211e-05	0.00069606854047079	0.000495032739519414	DDX21/KIT/BST2/TLR4/JAK3	5
GO:0002730	regulation of dendritic cell cytokine production	5/498	11/12060	0.454545454545455	11.0076670317634	6.89140104174594	4.42109734296211e-05	0.00069606854047079	0.000495032739519414	DDX21/KIT/BST2/TLR4/JAK3	5
GO:0006865	amino acid transport	15/498	110/12060	0.136363636363636	3.30230010952903	5.03417328377385	4.43042211049301e-05	0.00069606854047079	0.000495032739519414	SLC6A9/SLC1A5/SLC7A1/SLC7A2/SLC7A7/SLC6A15/SLC38A2/SLC7A5/SLC1A3/SLC6A6/KCNK2/SLC1A4/SLC7A11/SLC38A4/SLC6A17	15
GO:0030857	negative regulation of epithelial cell differentiation	8/498	33/12060	0.242424242424242	5.87075575027382	5.81471593119772	4.45078418941447e-05	0.000696687325885468	0.0004954728097441	SPRY1/SPRY2/SPRED3/VEGFA/TBX3/JAG1/S1PR3/CAV1	8
GO:0006873	intracellular monoatomic ion homeostasis	32/498	364/12060	0.0879120879120879	2.12895538196743	4.53902554338867	4.55625932786804e-05	0.000710575443706479	0.000505349815544497	JPH1/SLC40A1/SLC39A14/TESMIN/RAB20/SCNN1A/SLC1A3/SLC4A11/EDN1/HERPUD1/SLC4A7/KCNE3/STC2/MT2A/WNK4/THY1/STC1/NGF/SLC8A2/TRPV4/MYC/SLC8A1/ITPR3/CAV2/ASPH/FKBP1C/DDIT3/CXCL12/FZD9/TGFB1/CAV1/HMOX1	32
GO:0001892	embryonic placenta development	12/498	74/12060	0.162162162162162	3.92705958971019	5.24160299154944	4.57302778354925e-05	0.00071057816328996	0.000505351749668485	SPINT1/PDGFB/ST14/CEBPA/CCN1/PRDM1/EPAS1/ADM/CEBPB/LIF/FZD5/HEY1	12
GO:0001945	lymph vessel development	7/498	25/12060	0.28	6.78072289156627	6.00458427710438	4.93164607490299e-05	0.000763505206194835	0.000542992610475297	CCBE1/FOXC1/FOXC2/KDR/EPHA2/VEGFA/VEGFC	7
GO:0051145	smooth muscle cell differentiation	10/498	53/12060	0.188679245283019	4.56922027733576	5.40440475655909	5.18186707267386e-05	0.000799326549901183	0.000568468173407973	NPNT/RAMP2/KIT/PDGFB/ADM/VEGFA/TBX3/SIX1/TGFB1/HEY1	10
GO:0001818	negative regulation of cytokine production	20/498	180/12060	0.111111111111111	2.69076305220884	4.74312551591606	5.35004362156688e-05	0.000822278443575605	0.00058479119067165	TNFRSF21/F2RL1/VSIR/KLF4/TRIB2/THBS1/BST2/GATA3/HDAC9/LGR4/EPHA2/TWIST1/TLR4/LRRC32/ZFP36/DDIT3/TGFB1/HMOX1/TGFB2/JAK3	20
