ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030317	flagellated sperm motility	106	-0.544508642695323	-2.38214661777795	3.64832262908549e-10	8.99809026609904e-08	7.44676762472666e-08	2842	tags=55%, list=20%, signal=44%	8701/64147/29922/79645/92749/25911/28981/84229/57821/151651/9576/138162/126075/129881/84071/55779/54970/79582/200373/642987/115948/25809/145508/389799/54585/10566/91978/64800/220136/57639/84223/22994/401024/80127/26140/154865/55036/144535/84074/27285/134121/90506/158787/219681/80258/283629/80217/25790/338/164395/55870/11092/7802/2622/7846/23639/79925/585
GO:0044458	motile cilium assembly	63	-0.640702325247459	-2.56272482447221	5.20405053858667e-10	1.22770340097266e-07	1.01604025618356e-07	2620	tags=65%, list=19%, signal=53%	92749/54558/28981/55081/84229/57821/9576/23300/126075/84071/55779/221421/54970/79582/352909/200373/25809/145508/79864/91978/220136/57639/84223/22994/401024/80127/27152/55036/144535/90506/129880/2302/200162/80217/54903/1756/7802/23639/79925/57545/585
GO:0099111	microtubule-based transport	213	-0.425191288743795	-2.05853401266584	8.11204176551766e-10	1.83399744248745e-07	1.51780570928502e-07	2899	tags=38%, list=21%, signal=31%	166379/90990/8701/29922/282991/636/23224/92749/25911/24137/26160/26146/28981/79989/23247/55081/6421/22858/3315/7314/27031/9576/27148/729991/23162/6687/92104/79582/352909/667/11020/200373/4747/57584/63971/51626/345895/1740/115948/25809/22906/9742/79864/150082/9371/220136/27067/3064/1780/55764/22994/403/22902/27152/55036/80208/4133/1770/64792/144535/80173/150737/152110/200162/8100/23059/80217/25790/57560/23557/10013/56912/5991/53340/8382/119032/2622/7846/23639/25999/79925
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17	0.879903792554533	2.42857366302044	2.09313569306653e-09	4.5429417082316e-07	3.7597123648934e-07	772	tags=71%, list=5%, signal=67%	23246/54680/55759/84154/55003/9875/23481/23560/8886/11224/6129/285855
GO:2000573	positive regulation of DNA biosynthetic process	41	0.711555128857648	2.42851776959109	3.15367629424437e-09	6.58147983560382e-07	5.44679476568683e-07	1269	tags=41%, list=9%, signal=38%	10575/22948/6950/10694/5155/10728/10574/1736/2247/64094/10576/92345/7203/25865/2264/908/7422
GO:0006418	tRNA aminoacylation for protein translation	41	0.698966463387151	2.38555300614455	1.21078982812333e-08	2.4332391138508e-06	2.01373466151037e-06	2333	tags=61%, list=17%, signal=51%	3376/2058/7407/10056/92935/8565/55699/2617/4141/16/3735/51520/4677/2193/79731/833/124454/1615/6897/5917/6301/7453/51067/25973/23395
GO:0006413	translational initiation	147	0.485658161733952	2.06781723650091	1.57036869893535e-08	3.04315020015115e-06	2.51849356002188e-06	2930	tags=39%, list=21%, signal=32%	10480/8662/8661/6059/27161/8894/8664/1974/4869/1978/468/9669/29110/6218/23367/8891/8668/1981/3692/1977/1973/6189/28969/728689/1965/83939/9451/6193/8669/3646/56919/7458/54915/8890/7375/23352/6188/55210/56888/8562/3309/27335/8473/8666/8087/1975/1457/7532/4690/6009/8667/51776/84285/10209/64410/7884/5611/9689
GO:0043038	amino acid activation	45	0.684181652238098	2.38692940928521	1.9656327630614e-08	3.67776668012798e-06	3.04369849989834e-06	1328	tags=47%, list=9%, signal=42%	3376/2058/7407/10056/92935/8565/55699/2617/4141/16/3735/51520/4677/2193/79731/833/124454/1615/6897/5917/6301
GO:0006399	tRNA metabolic process	200	0.454998072822692	2.01902272400953	3.14465584649651e-08	5.68763420769669e-06	4.70705327759794e-06	2588	tags=32%, list=18%, signal=27%	3376/2058/7407/10056/92935/8565/84186/10785/54888/55699/2617/55250/4141/80324/661/10799/126789/16/3735/51520/79693/4677/84705/2193/79731/833/124454/1615/23016/60487/25940/8270/2926/6741/54913/6897/11157/55139/116461/5917/134637/55621/6301/84267/11340/54517/6894/60528/90353/55039/51095/7453/79712/348180/51010/51067/55253/25973/23395/23404/55798/79074/81890/55226
GO:0006278	RNA-templated DNA biosynthetic process	58	0.624641908916897	2.27094237778262	4.19191964906852e-08	7.33721161801477e-06	6.07223403155392e-06	2731	tags=45%, list=19%, signal=36%	10575/22948/6950/10694/3327/3326/10728/10574/54552/1736/10576/7157/92345/7203/908/55651/167227/85456/64282/80351/1499/54984/55226/545/3320/65057
GO:0007004	telomere maintenance via telomerase	56	0.634319351778203	2.28363725367847	4.33136636182941e-08	7.34437308727699e-06	6.07816082222508e-06	2731	tags=46%, list=19%, signal=38%	10575/22948/6950/10694/3327/3326/10728/10574/54552/1736/10576/7157/92345/7203/908/55651/167227/85456/64282/80351/1499/54984/55226/545/3320/65057
GO:0043039	tRNA aminoacylation	44	0.684490850839	2.37814697266316	6.05238972840622e-08	9.9515959594946e-06	8.23588343903699e-06	1328	tags=48%, list=9%, signal=43%	3376/2058/7407/10056/92935/8565/55699/2617/4141/16/3735/51520/4677/2193/79731/833/124454/1615/6897/5917/6301
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	34	0.71666305732742	2.34306923809207	7.46740788982601e-08	1.1917104473587e-05	9.86252695294048e-06	2755	tags=74%, list=19%, signal=59%	55813/23160/25879/55127/10799/705/23212/85395/27042/9277/161424/6227/10607/55720/9790/84916/6217/8602/57647/6223/10171/6202/27340/2068/57050
GO:0009913	epidermal cell differentiation	127	0.492088357259019	2.04498884157396	9.64996139248089e-08	1.46454654781037e-05	1.21205027896076e-05	2636	tags=38%, list=19%, signal=31%	2118/1001/54845/6768/5583/3664/3855/9314/2247/2810/2296/5530/60485/5604/9497/25932/5453/4647/3280/29841/1969/2355/10626/8644/4851/54206/3066/23764/1747/5357/182/6789/7538/2317/23086/3872/7357/23254/5727/1499/1026/79955/9368/3065/1832/2068/5879/23596
