ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	5/49	37/8135	0.135135135135135	22.4351902923332	10.1723799853191	2.42572159063412e-06	3.75273399021632e-05	2.13283260600647e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-5578749	Transcriptional regulation by small RNAs	5/49	38/8135	0.131578947368421	21.8447905477981	10.0256033850086	2.78066822573331e-06	4.06286524093255e-05	2.30909291259725e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-9616222	Transcriptional regulation of granulopoiesis	5/49	43/8135	0.116279069767442	19.3046986236355	9.36811318371081	5.21355896876646e-06	7.21666320413463e-05	4.10152561531766e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-912446	Meiotic recombination	5/49	45/8135	0.111111111111111	18.4467120181406	9.13542684360396	6.55771861176706e-06	8.62339997447369e-05	4.90103180458381e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-2559580	Oxidative Stress Induced Senescence	6/49	81/8135	0.0740740740740741	12.2978080120937	7.95452301420557	8.03173379660749e-06	0.000100587904214656	5.71682305322438e-05	H2BC11/H4C8/FOS/H2AC6/H3C8/H3C6	6
R-HSA-3214815	HDACs deacetylate histones	5/49	50/8135	0.1	16.6020408163265	8.6140949657696	1.11184641341907e-05	0.000114666204928818	6.51695061032305e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-9818564	Epigenetic regulation of gene expression by MLL3 and MLL4 complexes	6/49	87/8135	0.0689655172413793	11.4496833216045	7.627847948067	1.21609374563557e-05	0.000114666204928818	6.51695061032305e-05	NR5A2/H2BC11/H4C8/H2AC6/H3C8/H3C6	6
R-HSA-9841922	MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis	6/49	87/8135	0.0689655172413793	11.4496833216045	7.627847948067	1.21609374563557e-05	0.000114666204928818	6.51695061032305e-05	NR5A2/H2BC11/H4C8/H2AC6/H3C8/H3C6	6
R-HSA-9851695	Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes	6/49	87/8135	0.0689655172413793	11.4496833216045	7.627847948067	1.21609374563557e-05	0.000114666204928818	6.51695061032305e-05	NR5A2/H2BC11/H4C8/H2AC6/H3C8/H3C6	6
R-HSA-73772	RNA Polymerase I Promoter Escape	5/49	51/8135	0.0980392156862745	16.2765106042417	8.51881833674043	1.22714671739038e-05	0.000114666204928818	6.51695061032305e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-9764725	Negative Regulation of CDH1 Gene Transcription	5/49	51/8135	0.0980392156862745	16.2765106042417	8.51881833674043	1.22714671739038e-05	0.000114666204928818	6.51695061032305e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-1912408	Pre-NOTCH Transcription and Translation	5/49	52/8135	0.0961538461538462	15.9635007849294	8.42620166114343	1.35157884136629e-05	0.000114666204928818	6.51695061032305e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	5/49	52/8135	0.0961538461538462	15.9635007849294	8.42620166114343	1.35157884136629e-05	0.000114666204928818	6.51695061032305e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	5/49	52/8135	0.0961538461538462	15.9635007849294	8.42620166114343	1.35157884136629e-05	0.000114666204928818	6.51695061032305e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	5/49	52/8135	0.0961538461538462	15.9635007849294	8.42620166114343	1.35157884136629e-05	0.000114666204928818	6.51695061032305e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
R-HSA-5625740	RHO GTPases activate PKNs	5/49	53/8135	0.0943396226415094	15.6623026569118	8.33611979742722	1.48564651405744e-05	0.000122101572874096	6.9395330590841e-05	H2BC11/H4C8/H2AC6/H3C8/H3C6	5
